model_type,feature,term,masac,seame
all_condition,F0msemin,has_repetition[T.True],-4.8233113040104,27.756221991151932
all_condition,F0msestd,C(age_bucket)[T.25+],,-30.35420722580167
all_condition,F0msestd,C(age_bucket)[T.<19],,-102.14621555245978
all_condition,F0msestd,C(audience_proficiency_proxy)[T.low_l2],-205.530538149303,
all_condition,F0msestd,C(audience_proficiency_proxy)[T.mid_l2],8.58143223614027,
all_condition,F0msestd,C(condition)[T.monolingual_EN],-127.28380432645636,-21.500716817422166
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,43.238782493071305
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,11.81590436947074
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],334.1286927596403,
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],-16.987481445359368,
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],14803692220077.537,
all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-48068719703.173355,
all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-29863448.74993062,
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-1941182012222.1316,
all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],1.089530754740153,
all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-27.374329684882333,
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(gender)[T.male],,-16.772505918918853
all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,19.024697356575388
all_condition,F0msestd,C(condition)[T.monolingual_HI],-102.35088753030612,
