corpus,model_type,feature,term,coef,p_value,aic,n
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_i]",0.0,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],274.20763464186143,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.low_l2],211.04219169559542,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],-23.153697465209984,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.mid_l2],32.51192924033258,,99776.72024730511,6476
masac,all_condition,F0msestd,Intercept,466.40600145987355,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_EN],-127.28380432645636,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_HI],-102.35088753030612,,95462.02480544522,6476
masac,all_condition,F0msestd,has_discourse_marker[T.True],24.860810373509167,,95462.02480544522,6476
masac,all_condition,F0msestd,has_repetition[T.True],41.176284934266974,,95462.02480544522,6476
masac,all_condition,F0msestd,C(dialogue_act)[T.1],-1421606020161454.0,,95462.02480544522,6476
masac,all_condition,F0msestd,C(dialogue_act)[T.a],-0.6248411414979458,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(dialogue_act)[T.a,_i]",58.102267356793256,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(dialogue_act)[T.a,_o]",-192.45537776755336,,95462.02480544522,6476
masac,all_condition,F0msestd,C(dialogue_act)[T.i],-12.265796079352471,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(dialogue_act)[T.i,_a]",8.800242683519725,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(dialogue_act)[T.i,_a,_o]",-200.5966626673687,,95462.02480544522,6476
masac,all_condition,F0msestd,C(dialogue_act)[T.o],-81.98588889523077,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(dialogue_act)[T.o,_a]",312.7999094651674,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(dialogue_act)[T.o,_i]",35.82051058267376,,95462.02480544522,6476
masac,all_condition,F0msestd,C(audience_proficiency_proxy)[T.low_l2],-205.530538149303,,95462.02480544522,6476
masac,all_condition,F0msestd,C(audience_proficiency_proxy)[T.mid_l2],8.58143223614027,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],14803692220077.537,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],1421606020161451.8,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-1941182012222.1316,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],1249196901487.9465,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-48068719703.173355,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",-1182663048.9508548,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-29863448.74993062,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",656928.1403778868,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],1.089530754740153,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],-12.220746176062903,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-27.374329684882333,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],518.2572180531254,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_a]",0.0,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,,95462.02480544522,6476
masac,all_condition,F0msestd,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_i]",0.0,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],334.1286927596403,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.low_l2],174.4786595696482,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],-16.987481445359368,,95462.02480544522,6476
masac,all_condition,F0msestd,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.mid_l2],57.65520114590558,,95462.02480544522,6476
masac,all_condition,F0mseavg,Intercept,382.12548655065814,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_EN],-27.948817550376273,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_HI],-34.77134248904562,,92667.67560214998,6476
masac,all_condition,F0mseavg,has_discourse_marker[T.True],-29.594351148359706,,92667.67560214998,6476
masac,all_condition,F0mseavg,has_repetition[T.True],3.599977966257847,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(dialogue_act)[T.1],-2146514175760762.5,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(dialogue_act)[T.a],-33.125134149780294,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(dialogue_act)[T.a,_i]",6.464600708065448,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(dialogue_act)[T.a,_o]",-79.83054061548057,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(dialogue_act)[T.i],-30.91301615864921,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(dialogue_act)[T.i,_a]",-50.89924428308437,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(dialogue_act)[T.i,_a,_o]",-213.3520562344551,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(dialogue_act)[T.o],-82.35413857442173,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(dialogue_act)[T.o,_a]",180.95369650462672,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(dialogue_act)[T.o,_i]",-29.552870982648244,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(audience_proficiency_proxy)[T.low_l2],-116.90923991810752,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(audience_proficiency_proxy)[T.mid_l2],13.761648133119945,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],22352420258032.547,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],2146514175761071.5,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-2931033386095.0146,,92667.67560214998,6476
masac,all_condition,F0mseavg,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],1886189858042.3572,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-72580016397.10356,,92667.67560214998,6476
masac,all_condition,F0mseavg,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",-1785728931.7284412,,92667.67560214998,6476
